Pipeline,CV Mean Score,Preprocessing
"KNeighborsRegressor(XGBRegressor(input_matrix, XGBRegressor__learning_rate=0.5, XGBRegressor__max_depth=7, XGBRegressor__min_child_weight=8, XGBRegressor__n_estimators=100, XGBRegressor__n_jobs=1, XGBRegressor__objective=reg:squarederror, XGBRegressor__subsample=0.5, XGBRegressor__verbosity=0), KNeighborsRegressor__n_neighbors=33, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=distance)",-0.2737045152999045,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=False, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-0.2739264580426045,N/A
"ElasticNetCV(RandomForestRegressor(GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=quantile, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.7000000000000001, GradientBoostingRegressor__min_samples_leaf=16, GradientBoostingRegressor__min_samples_split=12, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.1), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.8, RandomForestRegressor__min_samples_leaf=13, RandomForestRegressor__min_samples_split=16, RandomForestRegressor__n_estimators=100), ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.2745273521761858,N/A
"RandomForestRegressor(PolynomialFeatures(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-0.2764860396380951,N/A
"ElasticNetCV(RandomForestRegressor(GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=quantile, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.7000000000000001, GradientBoostingRegressor__min_samples_leaf=9, GradientBoostingRegressor__min_samples_split=12, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.9000000000000001), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.8, RandomForestRegressor__min_samples_leaf=13, RandomForestRegressor__min_samples_split=16, RandomForestRegressor__n_estimators=100), ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.2798848773989852,N/A
"ElasticNetCV(RandomForestRegressor(GradientBoostingRegressor(SelectFromModel(input_matrix, SelectFromModel__ExtraTreesRegressor__max_features=0.15000000000000002, SelectFromModel__ExtraTreesRegressor__n_estimators=100, SelectFromModel__threshold=0.0), GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=quantile, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.7000000000000001, GradientBoostingRegressor__min_samples_leaf=9, GradientBoostingRegressor__min_samples_split=12, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.9000000000000001), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.8, RandomForestRegressor__min_samples_leaf=13, RandomForestRegressor__min_samples_split=16, RandomForestRegressor__n_estimators=100), ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.2798848773989852,N/A
"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=20, RandomForestRegressor__n_estimators=100)",-0.2799277506262402,N/A
"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-0.2799277506262402,N/A
"RandomForestRegressor(SelectFwe(input_matrix, SelectFwe__alpha=0.008), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=8, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-0.2802871153682075,N/A
"RandomForestRegressor(MinMaxScaler(input_matrix), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-0.28060613949190505,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=16, RandomForestRegressor__n_estimators=100)",-0.28061588927346237,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-0.28061588927346237,N/A
"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-0.28075190898254443,N/A
"RandomForestRegressor(RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.15000000000000002, RandomForestRegressor__min_samples_leaf=13, RandomForestRegressor__min_samples_split=5, RandomForestRegressor__n_estimators=100), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=7, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-0.2819165312752368,N/A
"ExtraTreesRegressor(input_matrix, ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.9000000000000001, ExtraTreesRegressor__min_samples_leaf=4, ExtraTreesRegressor__min_samples_split=7, ExtraTreesRegressor__n_estimators=100)",-0.28479773020667903,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=False, RandomForestRegressor__max_features=0.35000000000000003, RandomForestRegressor__min_samples_leaf=17, RandomForestRegressor__min_samples_split=19, RandomForestRegressor__n_estimators=100)",-0.28544127288683646,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-0.2872492931423102,N/A
"DecisionTreeRegressor(RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=False, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=1, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100), DecisionTreeRegressor__max_depth=3, DecisionTreeRegressor__min_samples_leaf=8, DecisionTreeRegressor__min_samples_split=11)",-0.28914428007082293,N/A
"GradientBoostingRegressor(OneHotEncoder(input_matrix, OneHotEncoder__minimum_fraction=0.05, OneHotEncoder__sparse=False, OneHotEncoder__threshold=10), GradientBoostingRegressor__alpha=0.75, GradientBoostingRegressor__learning_rate=0.1, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=8, GradientBoostingRegressor__max_features=0.35000000000000003, GradientBoostingRegressor__min_samples_leaf=1, GradientBoostingRegressor__min_samples_split=9, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.05)",-0.2975838302985349,N/A
"GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.75, GradientBoostingRegressor__learning_rate=0.1, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=8, GradientBoostingRegressor__max_features=0.35000000000000003, GradientBoostingRegressor__min_samples_leaf=1, GradientBoostingRegressor__min_samples_split=9, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.05)",-0.2975838302985349,N/A
"DecisionTreeRegressor(XGBRegressor(input_matrix, XGBRegressor__learning_rate=0.5, XGBRegressor__max_depth=7, XGBRegressor__min_child_weight=8, XGBRegressor__n_estimators=100, XGBRegressor__n_jobs=1, XGBRegressor__objective=reg:squarederror, XGBRegressor__subsample=0.5, XGBRegressor__verbosity=0), DecisionTreeRegressor__max_depth=5, DecisionTreeRegressor__min_samples_leaf=5, DecisionTreeRegressor__min_samples_split=7)",-0.3200019790924896,N/A
"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-0.32318236310739573,N/A
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=7, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-0.33305632514620864,N/A
"GradientBoostingRegressor(FastICA(input_matrix, FastICA__tol=0.5), GradientBoostingRegressor__alpha=0.75, GradientBoostingRegressor__learning_rate=0.1, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=8, GradientBoostingRegressor__max_features=0.35000000000000003, GradientBoostingRegressor__min_samples_leaf=1, GradientBoostingRegressor__min_samples_split=9, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.8500000000000001)",-0.338130750134619,N/A
"RandomForestRegressor(SelectFwe(input_matrix, SelectFwe__alpha=0.013000000000000001), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=7, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-0.34542074986554844,N/A
"ElasticNetCV(GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=quantile, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.7000000000000001, GradientBoostingRegressor__min_samples_leaf=9, GradientBoostingRegressor__min_samples_split=12, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.9000000000000001), ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.3485171450949894,N/A
"ElasticNetCV(GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=quantile, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.7000000000000001, GradientBoostingRegressor__min_samples_leaf=9, GradientBoostingRegressor__min_samples_split=12, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.1), ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.36544068860463996,N/A
"DecisionTreeRegressor(DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=10, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=12), DecisionTreeRegressor__max_depth=7, DecisionTreeRegressor__min_samples_leaf=3, DecisionTreeRegressor__min_samples_split=4)",-0.3729639460566796,N/A
"KNeighborsRegressor(input_matrix, KNeighborsRegressor__n_neighbors=43, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=uniform)",-0.39130830369344377,N/A
"KNeighborsRegressor(FastICA(input_matrix, FastICA__tol=0.9), KNeighborsRegressor__n_neighbors=43, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=uniform)",-0.39873543588395516,N/A
"KNeighborsRegressor(input_matrix, KNeighborsRegressor__n_neighbors=53, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=uniform)",-0.39873983342557506,N/A
"KNeighborsRegressor(PCA(input_matrix, PCA__iterated_power=4, PCA__svd_solver=randomized), KNeighborsRegressor__n_neighbors=33, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=distance)",-0.4013983484313794,N/A
"KNeighborsRegressor(KNeighborsRegressor(input_matrix, KNeighborsRegressor__n_neighbors=21, KNeighborsRegressor__p=2, KNeighborsRegressor__weights=distance), KNeighborsRegressor__n_neighbors=43, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=uniform)",-0.40465070678259585,N/A
"KNeighborsRegressor(PCA(input_matrix, PCA__iterated_power=4, PCA__svd_solver=randomized), KNeighborsRegressor__n_neighbors=33, KNeighborsRegressor__p=1, KNeighborsRegressor__weights=uniform)",-0.41072161172023647,N/A
"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=7, DecisionTreeRegressor__min_samples_leaf=3, DecisionTreeRegressor__min_samples_split=4)",-0.4292808048300705,N/A
"GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.9, GradientBoostingRegressor__learning_rate=1.0, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.5, GradientBoostingRegressor__min_samples_leaf=17, GradientBoostingRegressor__min_samples_split=6, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.9000000000000001)",-0.43471494769104335,N/A
"GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.95, GradientBoostingRegressor__learning_rate=1.0, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=10, GradientBoostingRegressor__max_features=0.5, GradientBoostingRegressor__min_samples_leaf=17, GradientBoostingRegressor__min_samples_split=6, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.9000000000000001)",-0.4529709823934077,N/A
"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=3)",-0.45748973302764673,N/A
"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-0.45748973302764673,N/A
"DecisionTreeRegressor(RobustScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-0.45754068495523104,N/A
"DecisionTreeRegressor(ZeroCount(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=12, DecisionTreeRegressor__min_samples_split=10)",-0.4584571678701301,N/A
RidgeCV(input_matrix),-0.5192930381790095,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=1.0, ElasticNetCV__tol=1e-05)",-0.5212985534011855,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.9500000000000001, ElasticNetCV__tol=0.001)",-0.5214013071162296,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.6000000000000001, ElasticNetCV__tol=1e-05)",-0.5218609168656019,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=1e-05)",-0.5220788380065445,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=1.0, ElasticNetCV__tol=0.1)",-0.5238939838548058,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.1)",-0.5240405539690169,N/A
"ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.15000000000000002, ElasticNetCV__tol=1e-05)",-0.5243281804024649,N/A
"GradientBoostingRegressor(input_matrix, GradientBoostingRegressor__alpha=0.75, GradientBoostingRegressor__learning_rate=0.01, GradientBoostingRegressor__loss=huber, GradientBoostingRegressor__max_depth=8, GradientBoostingRegressor__max_features=0.35000000000000003, GradientBoostingRegressor__min_samples_leaf=1, GradientBoostingRegressor__min_samples_split=9, GradientBoostingRegressor__n_estimators=100, GradientBoostingRegressor__subsample=0.6500000000000001)",-0.5324651562939862,N/A
"ExtraTreesRegressor(input_matrix, ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.25, ExtraTreesRegressor__min_samples_leaf=4, ExtraTreesRegressor__min_samples_split=7, ExtraTreesRegressor__n_estimators=100)",-0.5660392400469494,N/A
"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=4, DecisionTreeRegressor__min_samples_leaf=14, DecisionTreeRegressor__min_samples_split=6)",-0.5702403343359042,N/A
"AdaBoostRegressor(input_matrix, AdaBoostRegressor__learning_rate=0.01, AdaBoostRegressor__loss=linear, AdaBoostRegressor__n_estimators=100)",-0.5829349559698423,N/A
"DecisionTreeRegressor(FastICA(input_matrix, FastICA__tol=0.45), DecisionTreeRegressor__max_depth=3, DecisionTreeRegressor__min_samples_leaf=8, DecisionTreeRegressor__min_samples_split=11)",-0.6236753029246836,N/A
"DecisionTreeRegressor(FastICA(input_matrix, FastICA__tol=0.45), DecisionTreeRegressor__max_depth=3, DecisionTreeRegressor__min_samples_leaf=8, DecisionTreeRegressor__min_samples_split=7)",-0.6236753029246836,N/A
"DecisionTreeRegressor(FastICA(input_matrix, FastICA__tol=0.65), DecisionTreeRegressor__max_depth=3, DecisionTreeRegressor__min_samples_leaf=8, DecisionTreeRegressor__min_samples_split=11)",-0.6289739614874266,N/A
"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=3, DecisionTreeRegressor__min_samples_leaf=8, DecisionTreeRegressor__min_samples_split=11)",-0.6332304763637293,N/A
"RandomForestRegressor(Nystroem(input_matrix, Nystroem__gamma=0.30000000000000004, Nystroem__kernel=polynomial, Nystroem__n_components=2), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-0.7557956694135697,N/A
"ExtraTreesRegressor(Binarizer(input_matrix, Binarizer__threshold=0.0), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.2, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=11, ExtraTreesRegressor__n_estimators=100)",-0.8135502224292634,N/A
"ExtraTreesRegressor(Binarizer(input_matrix, Binarizer__threshold=0.0), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.2, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=18, ExtraTreesRegressor__n_estimators=100)",-0.8135502224292634,N/A
"ExtraTreesRegressor(Binarizer(input_matrix, Binarizer__threshold=1.0), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.2, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=11, ExtraTreesRegressor__n_estimators=100)",-0.9265010961122065,N/A
"ExtraTreesRegressor(Nystroem(input_matrix, Nystroem__gamma=0.2, Nystroem__kernel=poly, Nystroem__n_components=5), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.6500000000000001, ExtraTreesRegressor__min_samples_leaf=9, ExtraTreesRegressor__min_samples_split=11, ExtraTreesRegressor__n_estimators=100)",-0.9572383024044235,N/A
"AdaBoostRegressor(ZeroCount(input_matrix), AdaBoostRegressor__learning_rate=0.5, AdaBoostRegressor__loss=exponential, AdaBoostRegressor__n_estimators=100)",-0.9950058169344164,N/A
